eightd_has_key_dispenser,eightd_station_services,lat,short_name,has_kiosk,capacity,lon,electric_bike_surcharge_waiver,station_type,name,externalId,stationId,legacyId
false,,41.768898,650,true,11,-87.635876,false,classic,Eggleston Ave & 69th St,a3b45e26-a135-11e9-9cda-0a87ae2ba916,a3b45e26-a135-11e9-9cda-0a87ae2ba916,650
false,,41.8481,15687,true,11,-87.715068,false,classic,Central Park Ave & 24th St,a3add889-a135-11e9-9cda-0a87ae2ba916,a3add889-a135-11e9-9cda-0a87ae2ba916,440
false,,41.803023,16940,true,11,-87.664699,false,classic,Ashland Ave & 50th St,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,555
false,,41.756971,572,true,11,-87.624621,false,classic,State St & 76th St,a3b2659d-a135-11e9-9cda-0a87ae2ba916,a3b2659d-a135-11e9-9cda-0a87ae2ba916,572
false,,41.78008063659,KA1503000053,true,11,-87.6159428567,false,classic,MLK Jr Dr & 63rd St,a3ada52f-a135-11e9-9cda-0a87ae2ba916,a3ada52f-a135-11e9-9cda-0a87ae2ba916,430
false,,41.76663823695,KA1503000018,true,11,-87.5764501141,false,classic,Jeffery Blvd & 71st St,a3a3983e-a135-11e9-9cda-0a87ae2ba916,a3a3983e-a135-11e9-9cda-0a87ae2ba916,11
false,,41.77372095205,KA1503000031,true,11,-87.60563486,false,classic,Cottage Grove Ave & 67th St,a3ada002-a135-11e9-9cda-0a87ae2ba916,a3ada002-a135-11e9-9cda-0a87ae2ba916,429
false,,41.744615,TA1309000051,true,11,-87.551208,false,classic,Commercial Ave & 83rd St,a3b2956a-a135-11e9-9cda-0a87ae2ba916,a3b2956a-a135-11e9-9cda-0a87ae2ba916,581
false,,42.001785,RP-001,true,11,-87.688829,false,classic,Warren Park West,a3ae82e0-a135-11e9-9cda-0a87ae2ba916,a3ae82e0-a135-11e9-9cda-0a87ae2ba916,450
false,,41.7804056457,KA1503000046,true,11,-87.5914159893,false,classic,Dorchester Ave & 63rd St,a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,428
false,,41.73655301831962,595,true,11,-87.62264415621758,false,classic,Wabash Ave & 87th St,a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,595
false,,41.877917,545,true,11,-87.735737,false,classic,Kostner Ave & Adams St,a3b1db23-a135-11e9-9cda-0a87ae2ba916,a3b1db23-a135-11e9-9cda-0a87ae2ba916,545
